Level,Perimeter
60,126.533366
61,126.137341
62,126.599051
62,127.770652
63,127.770652
64,128.166646
65,128.166610
66,128.166610
66,128.166611
67,128.632821
68,129.919719
69,130.315553
70,130.706579
70,130.284545
71,129.552781
72,129.942662
73,129.942660
74,129.942644
74,129.942644
75,129.942644
76,129.603997
77,130.065351
78,130.456230
78,131.353103
79,132.475690
80,132.400365
81,132.400369
82,132.400380
82,132.400378
83,132.368684
84,132.368684
85,132.759348
86,132.759349
86,133.148539
87,133.539148
88,133.929658
89,135.215559
90,135.215560
90,135.605903
91,136.733013
92,135.846483
93,136.625641
94,137.015732
94,139.932330
95,139.932330
96,139.046492
97,141.170481
98,137.274401
98,134.504019
99,134.924771
